127.0.0.1 - - [25/Nov/2025:16:18:54 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/javascripts/vendors/bootstrap-switch.min.js HTTP/1.1" 200 14327
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/stylesheets/vendors/bootstrap-switch.min.css HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:19:03 -0300] "GET /brewer/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:21:07 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:21:07 -0300] "GET /brewer/usuarios/novo HTTP/1.1" 200 8458
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:21:07 -0300] "GET /brewer/images/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:22:55 -0300] "GET /brewer/usuarios/novo HTTP/1.1" 200 8459
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:22:55 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/usuarios/novo HTTP/1.1" 200 8459
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/usuarios/novo HTTP/1.1" 200 8459
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/stylesheets/vendors/bootstrap-switch.min.css HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/layout/javascripts/vendors.min.js HTTP/1.1" 200 145096
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/layout/javascripts/algaworks.min.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/javascripts/vendors/bootstrap-switch.min.js HTTP/1.1" 200 14327
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 200 70728
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:26:17 -0300] "GET /brewer/images/favicon.png HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:31:42 -0300] "POST /brewer/usuarios/novo HTTP/1.1" 200 8938
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:31:42 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:37:34 -0300] "POST /brewer/usuarios/novo HTTP/1.1" 200 8894
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:37:34 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:37:41 -0300] "GET /brewer/usuarios/novo HTTP/1.1" 200 8415
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:37:41 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:37:52 -0300] "POST /brewer/usuarios/novo HTTP/1.1" 200 8894
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:37:52 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:31 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:31 -0300] "GET /brewer/clientes/novo HTTP/1.1" 200 12639
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:31 -0300] "GET /brewer/javascripts/cliente.combo-estado-cidade.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:31 -0300] "GET /brewer/images/mini-loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:31 -0300] "GET /brewer/javascripts/cliente.mascara-cpf-cnpj.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:38 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:39 -0300] "POST /brewer/clientes/novo HTTP/1.1" 200 13139
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:52 -0300] "GET /brewer/cidades?estado=18 HTTP/1.1" 200 15376
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:48:57 -0300] "GET /brewer/cidades?estado=17 HTTP/1.1" 200 9055
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:49:00 -0300] "GET /brewer/cidades?estado=18 HTTP/1.1" 200 15376
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:57:43 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:16:57:43 -0300] "POST /brewer/clientes/novo HTTP/1.1" 200 13139
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:05:43 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:05:43 -0300] "POST /brewer/clientes/novo HTTP/1.1" 200 13139
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:05:51 -0300] "GET /brewer/usuarios/novo HTTP/1.1" 200 9002
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:05:51 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:05:51 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:05:51 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:05:58 -0300] "POST /brewer/usuarios/novo HTTP/1.1" 200 9480
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:05:58 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:07:17 -0300] "POST /brewer/usuarios/novo HTTP/1.1" 200 9480
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:07:17 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:07:17 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:07:17 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:49 -0300] "POST /brewer/usuarios/novo HTTP/1.1" 200 9480
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:49 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:50 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:50 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:55 -0300] "POST /brewer/usuarios/novo HTTP/1.1" 200 9480
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:56 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:56 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:56 -0300] "GET /brewer/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:56 -0300] "GET /brewer/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:56 -0300] "GET /brewer/stylesheets/vendors/bootstrap-switch.min.css HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:56 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:56 -0300] "GET /brewer/layout/javascripts/algaworks.min.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:56 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:57 -0300] "GET /brewer/javascripts/vendors/bootstrap-switch.min.js HTTP/1.1" 200 14327
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:57 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:57 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:57 -0300] "GET /brewer/layout/javascripts/vendors.min.js HTTP/1.1" 200 145096
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:57 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:57 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:57 -0300] "GET /brewer/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:57 -0300] "GET /brewer/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 200 70728
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:08:58 -0300] "GET /brewer/images/favicon.png HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:12:45 -0300] "POST /brewer/usuarios/novo HTTP/1.1" 200 9680
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:12:45 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:12:45 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:12:45 -0300] "GET /brewer/images/logo.png HTTP/1.1" 404 756
0:0:0:0:0:0:0:1 - - [25/Nov/2025:17:12:45 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepickerstandalone.min.css HTTP/1.1" 404 803
