127.0.0.1 - - [16/Feb/2026:07:18:53 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:25 -0300] "GET /brewer/fotos/7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/vendas/nova HTTP/1.1" 200 14800
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/numeral.min.js HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/pt-br.min.js HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/handlebars.min.js HTTP/1.1" 200 72614
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/jquery.easy-autocomplete.min.js HTTP/1.1" 200 15833
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/cliente.pesquisa-rapida.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/venda.autocomplete-itens.js HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/venda.tabela-itens.js HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/jquery.easy-autocomplete.min.js HTTP/1.1" 200 15833
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/vendors/handlebars.min.js HTTP/1.1" 200 72614
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/cliente.pesquisa-rapida.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/venda.autocomplete-itens.js HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:27 -0300] "GET /brewer/javascripts/venda.tabela-itens.js HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:31 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:31 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:31 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:31 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:31 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:31 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css.map HTTP/1.1" 404 1485
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:31 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css.map HTTP/1.1" 404 1485
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:39 -0300] "GET /brewer/cervejas?skuOuNome=aa1 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:39 -0300] "GET /brewer/fotos/thumbnail.7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:39 -0300] "GET /brewer/fotos/thumbnail.9570c0fb-bbbb-4910-b1fd-4cdb2afcdd40_patagonia.jpg HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:42 -0300] "POST /brewer/vendas/item HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:42 -0300] "GET /brewer/fotos/thumbnail.9570c0fb-bbbb-4910-b1fd-4cdb2afcdd40_patagonia.jpg HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:24:58 -0300] "PUT /brewer/vendas/item/3 HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:18 -0300] "GET /brewer/vendas/nova HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:20 -0300] "GET /brewer/login?expired HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:20 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:26 -0300] "POST /brewer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:27 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:27 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:27 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/cervejas HTTP/1.1" 200 15079
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/javascripts/vendors/numeral.min.js HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/javascripts/vendors/pt-br.min.js HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/fotos/7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:28 -0300] "GET /brewer/fotos/9570c0fb-bbbb-4910-b1fd-4cdb2afcdd40_patagonia.jpg HTTP/1.1" 200 28295
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/vendas/nova HTTP/1.1" 200 14800
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css.map HTTP/1.1" 404 1485
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css.map HTTP/1.1" 404 1485
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/pt-br.min.js HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/jquery.easy-autocomplete.min.js HTTP/1.1" 200 15833
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/numeral.min.js HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/handlebars.min.js HTTP/1.1" 200 72614
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/venda.autocomplete-itens.js HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/cliente.pesquisa-rapida.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/venda.tabela-itens.js HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/jquery.easy-autocomplete.min.js HTTP/1.1" 200 15833
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/vendors/handlebars.min.js HTTP/1.1" 200 72614
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/cliente.pesquisa-rapida.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/venda.autocomplete-itens.js HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:32 -0300] "GET /brewer/javascripts/venda.tabela-itens.js HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:35 -0300] "GET /brewer/cervejas?skuOuNome=aa1 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:35 -0300] "GET /brewer/fotos/thumbnail.7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:35 -0300] "GET /brewer/fotos/thumbnail.9570c0fb-bbbb-4910-b1fd-4cdb2afcdd40_patagonia.jpg HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:38 -0300] "POST /brewer/vendas/item HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:27:38 -0300] "GET /brewer/fotos/thumbnail.7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:28:15 -0300] "PUT /brewer/vendas/item/1 HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:33 -0300] "GET /brewer/vendas/nova HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:35 -0300] "GET /brewer/login?expired HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:35 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:41 -0300] "POST /brewer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/cervejas HTTP/1.1" 200 15079
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/javascripts/vendors/pt-br.min.js HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/javascripts/vendors/numeral.min.js HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/fotos/9570c0fb-bbbb-4910-b1fd-4cdb2afcdd40_patagonia.jpg HTTP/1.1" 200 28295
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:42 -0300] "GET /brewer/fotos/7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/vendas/nova HTTP/1.1" 200 14800
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css.map HTTP/1.1" 404 1485
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css.map HTTP/1.1" 404 1485
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/javascripts/vendors/pt-br.min.js HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:47 -0300] "GET /brewer/javascripts/vendors/numeral.min.js HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/vendors/jquery.easy-autocomplete.min.js HTTP/1.1" 200 15833
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/venda.autocomplete-itens.js HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/cliente.pesquisa-rapida.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/vendors/handlebars.min.js HTTP/1.1" 200 72614
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/venda.tabela-itens.js HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/vendors/jquery.easy-autocomplete.min.js HTTP/1.1" 200 15833
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/vendors/handlebars.min.js HTTP/1.1" 200 72614
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/cliente.pesquisa-rapida.js HTTP/1.1" 200 3159
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/venda.autocomplete-itens.js HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:48 -0300] "GET /brewer/javascripts/venda.tabela-itens.js HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:55 -0300] "GET /brewer/cervejas?skuOuNome=aa1 HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:55 -0300] "GET /brewer/fotos/thumbnail.7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:55 -0300] "GET /brewer/fotos/thumbnail.9570c0fb-bbbb-4910-b1fd-4cdb2afcdd40_patagonia.jpg HTTP/1.1" 200 1154
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:58 -0300] "POST /brewer/vendas/item HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:30:58 -0300] "GET /brewer/fotos/thumbnail.7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:31:10 -0300] "PUT /brewer/vendas/item/1 HTTP/1.1" 405 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:18 -0300] "GET /brewer/vendas/nova HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:19 -0300] "GET /brewer/login?expired HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:19 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:27 -0300] "POST /brewer/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:27 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:27 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/cervejas HTTP/1.1" 200 15079
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.min.js HTTP/1.1" 200 32708
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/javascripts/vendors/jquery.mask.min.js HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/javascripts/vendors/bootstrap-datepicker.pt-BR.min.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/javascripts/vendors/pt-br.min.js HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/javascripts/vendors/numeral.min.js HTTP/1.1" 200 6987
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/fotos/9570c0fb-bbbb-4910-b1fd-4cdb2afcdd40_patagonia.jpg HTTP/1.1" 200 28295
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:28 -0300] "GET /brewer/fotos/7bde00b8-dd42-4594-853e-6c28927599c9_cerveja.jpg HTTP/1.1" 200 3375
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:31 -0300] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:31 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:32 -0300] "GET /brewer/stylesheets/vendors/bootstrap-datepicker.standalone.min.css HTTP/1.1" 200 16529
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:32 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css HTTP/1.1" 200 8236
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:32 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css HTTP/1.1" 200 5277
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:32 -0300] "GET /brewer/vendas/nova HTTP/1.1" 200 14800
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:32 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.min.css.map HTTP/1.1" 404 1485
0:0:0:0:0:0:0:1 - - [16/Feb/2026:07:34:32 -0300] "GET /brewer/stylesheets/vendors/easy-autocomplete.themes.min.css.map HTTP/1.1" 404 1485
